complaint_id,customer_id,complaint_date,product,sub_product,issue,sub_issue,complaint_channel,customer_age,customer_segment,geography,account_tenure_months,transaction_frequency,monthly_spend,complaint_text,response_date,resolution_date,resolution_status,resolution_type,escalation_flag,satisfaction_score,agent_team,resolution_time_days,sla_breach_flag,repeat_complaint_flag,severity_level
CXP-2024-00069,CUST-10000,2025-03-30 10:52:00,Credit Card,Cash Back Preferred,Interest Rate Dispute,APR increased without prior notification,Phone / Contact Center,45,Emerging Wealth,Southeast,62,15,1993.71,Disputed charge and apr increased without prior notification on Cash Back Preferred. The app crashed and agent on phone was unable to waive fees.,2025-03-30 12:52:00,2025-03-31 17:52:00,Closed with Non-Monetary Relief,Statement Credit,0,3.0,Tier 1 General,1.29,0,0,LOW
CXP-2024-00365,CUST-10000,2025-06-02 17:00:00,Digital Banking,Web Online Portal,Security & Credentials,Account locked after password reset,Written / Mail,45,Emerging Wealth,Southeast,62,15,1993.71,Disputed charge and account locked after password reset on Web Online Portal. The app crashed and agent on phone was unable to waive fees.,2025-06-03 00:00:00,2025-06-06 02:00:00,Closed with Monetary Relief,Fee Waived,1,1.0,Tier 2 Escalations,3.38,0,1,HIGH
CXP-2024-00470,CUST-10002,2024-07-22 13:51:00,Savings Account,Money Market Account,Account Maintenance,Monthly maintenance fee assessed despite minimum balance,Mobile App,72,Mass Market,Northeast,49,26,3112.07,Extremely frustrated with the monthly maintenance fee assessed despite minimum balance on my Money Market Account. This has happened multiple times and customer support failed to resolve it promptly.,2024-07-22 21:51:00,2024-07-23 16:51:00,Closed with Monetary Relief,Full Refund,0,5.0,Tier 1 General,1.12,0,0,LOW
CXP-2024-00047,CUST-10002,2025-04-02 09:18:00,Digital Banking,Web Online Portal,Security & Credentials,Device registration loop error,Mobile App,72,Mass Market,Northeast,49,26,3112.07,Extremely frustrated with the device registration loop error on my Web Online Portal. This has happened multiple times and customer support failed to resolve it promptly.,2025-04-02 22:18:00,2025-04-03 12:18:00,Closed with Non-Monetary Relief,Fee Waived,0,4.0,Digital Tech Support,1.12,0,0,LOW
CXP-2024-00122,CUST-10003,2025-09-09 10:43:00,Credit Card,Cash Back Preferred,Fraud & Unauthorized Transaction,Phishing transaction alert,Web Portal,26,Emerging Wealth,Southwest,13,11,2089.7,Extremely frustrated with the phishing transaction alert on my Cash Back Preferred. This has happened multiple times and customer support failed to resolve it promptly.,2025-09-09 15:43:00,2025-09-23 12:43:00,Closed with Non-Monetary Relief,Statement Credit,0,2.0,Fraud Ops,14.08,1,0,HIGH
CXP-2024-00111,CUST-10004,2025-01-15 20:03:00,Savings Account,High Yield Savings,Account Maintenance,Joint owner addition delayed,Phone / Contact Center,38,Mass Market,Southeast,27,3,200.0,Filing a formal complaint about joint owner addition delayed. Resolution has taken too long and I am considering closing my account.,2025-01-16 17:03:00,2025-01-18 01:03:00,Closed with Explanation,Dispute Denied,0,5.0,Tier 1 General,2.21,0,0,LOW
CXP-2024-00156,CUST-10004,2025-09-10 18:10:00,Savings Account,High Yield Savings,Interest Rate Dispute,Interest payout missing for month,Mobile App,38,Mass Market,Southeast,27,3,200.0,Urgent issue: Interest payout missing for month regarding Savings Account. I request an immediate refund and resolution. My account tenure is 27 months and I expect better service.,2025-09-11 17:10:00,2025-09-21 01:10:00,Closed with Monetary Relief,Fee Waived,0,2.0,Tier 1 General,10.29,1,0,MEDIUM
CXP-2024-00014,CUST-10005,2024-03-12 12:51:00,Credit Card,Travel Elite Card,Rewards Redemption Failure,Travel portal booking error,Written / Mail,75,Premium Cardholder,West Coast,6,40,6569.99,Disputed charge and travel portal booking error on Travel Elite Card. The app crashed and agent on phone was unable to waive fees.,2024-03-13 09:51:00,2024-03-22 14:51:00,Closed with Non-Monetary Relief,Statement Credit,1,2.0,Tier 2 Escalations,10.08,1,0,CRITICAL
CXP-2024-00164,CUST-10007,2025-04-23 15:04:00,Credit Card,Travel Elite Card,Billing & Fee Dispute,Annual fee charged unexpectedly,Phone / Contact Center,18,Premium Cardholder,Midwest,18,49,7665.02,Disputed charge and annual fee charged unexpectedly on Travel Elite Card. The app crashed and agent on phone was unable to waive fees.,2025-04-24 00:04:00,2025-04-26 00:04:00,Closed with Monetary Relief,Fee Waived,0,4.0,Billing Services,2.38,0,0,LOW
CXP-2024-00286,CUST-10007,2025-06-08 17:14:00,Credit Card,Basic Credit Card,Rewards Redemption Failure,Travel portal booking error,Phone / Contact Center,18,Premium Cardholder,Midwest,18,49,7665.02,Disputed charge and travel portal booking error on Basic Credit Card. The app crashed and agent on phone was unable to waive fees.,2025-06-09 09:14:00,2025-06-09 23:14:00,Closed with Monetary Relief,Full Refund,0,3.0,Tier 1 General,1.25,0,1,HIGH
